time,mealy,missing
14:26:10,6,1
14:26:32,7,1
14:26:50,6,3
14:26:51,7,2
14:27:05,6,4
14:27:13,6,5
14:27:16,10,1
14:27:23,7,4
14:27:40,8,1
14:27:42,7,5
14:27:51,6,2
14:28:01,7,6
14:28:03,6,3
14:28:10,6,4
14:28:29,7,1
14:29:00,9,1
14:29:08,6,6
14:29:25,8,3
14:29:26,11,1
14:29:55,6,7
14:30:01,7,2
14:30:16,8,4
14:30:33,9,2
14:30:54,6,1
14:31:27,11,2
14:31:33,6,2
14:31:40,6,3
14:31:42,7,3
14:31:47,6,4
14:32:06,9,3
14:32:14,8,6
14:32:32,9,2
14:32:37,11,1
14:33:07,11,3
14:33:07,8,7
14:33:08,7,4
14:33:22,9,3
14:33:58,8,8
14:34:09,9,4
14:34:09,7,1
14:34:30,7,2
14:34:51,7,3
14:35:08,9,5
14:35:09,11,4
14:35:21,9,4
14:35:58,11,2
14:36:18,6,2
14:36:33,6,3
14:37:00,6,5
14:37:09,6,1
14:37:28,6,2
14:37:55,6,4
14:38:42,6,6
14:38:52,7,5
14:39:01,6,7
14:39:02,9,1
14:39:21,9,6
14:40:55,9,1
14:41:01,15,1
14:41:30,9,2
14:42:59,10,3
14:43:37,10,4
14:45:09,10,5
14:45:47,10,6
14:46:42,9,4
14:48:12,15,2
14:49:01,9,2
14:49:04,9,5
14:52:11,16,1
14:54:32,9,7
14:55:03,15,3
14:56:17,9,8
14:56:20,9,3
14:56:39,9,5
14:57:30,11,6
14:58:30,9,6
14:59:42,9,7
15:01:31,9,8
15:02:09,15,4
15:02:37,9,9
15:03:15,9,9
15:03:19,9,10
15:04:05,9,4
15:07:14,15,5
15:09:23,9,5
15:12:10,15,6
15:14:39,9,6
15:16:39,15,7
15:17:08,16,1
15:17:45,7,7
15:26:24,9,7
15:36:44,16,2
15:51:20,15,9
16:06:46,9,12
16:07:48,7,9
16:10:14,9,8
